"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it would impact me negatively",Yes,"No, because it would impact me negatively","I'm not sure",Yes,26-50%,1,"No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Unless the health issue relates specifically to my ability to do the job I would not feel a need to bring it up. ",No,"There is no doubt in my mind that mental health issues are viewed negatively by those looking to hire in a competitive industry. ","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed",Yes,Yes,Maybe,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,33,female,"United States of America",Connecticut,"United States of America",Connecticut,"Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Support",Sometimes
0,6-25,1,,No,No,No,No,No,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","Yes, they all did","None of them",No,"I work in tech so physical issues, unless my hard is broken, doesn't matter.",Yes,"I don't have OCD but I'm little obsessive with things and I'm pretty open about it.",Maybe,"No, I don't think they would",Neutral,No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",19,Male,India,,India,,"Front-end Developer|Back-end Developer|Support|Supervisor/Team Lead",Always
0,"More than 1000",1,,Yes,No,No,No,Yes,"Somewhat easy",Maybe,No,No,No,No,Yes,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",No,"Anything that would add complications or additional load on my potential employer seems to only have negative ramifications.",No,"I don't trust my employer with that information.","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced",Yes,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Stress Response Syndromes",No,,0,Rarely,Often,40,Male,"United States of America",California,"United States of America",California,Other,Always
0,"More than 1000",0,1,Yes,Yes,Yes,Yes,Yes,"Very easy",Maybe,No,Maybe,Yes,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,Maybe,,Maybe,Na,"No, I don't think it would","No, I don't think they would","Somewhat open",No,,Yes,Maybe,No,,,Yes,"Substance Use Disorder|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,49,F,"United States of America",Illinois,"United States of America",Illinois,"Supervisor/Team Lead",Sometimes
0,6-25,1,,"Not eligible for coverage / N/A",N/A,Yes,Yes,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","None of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"It would depend on whether the issue would affect my needs in the workplace. If so, bring it up. If not, it's not necessary to bring up.",Maybe,"Same reasons as physical",Maybe,"No, I don't think they would","Not applicable to me (I do not have a mental illness)",No,,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",27,Female,Australia,,Australia,,"Front-end Developer",Sometimes
0,"More than 1000",0,1,Yes,Yes,No,Yes,Yes,"Somewhat easy",Maybe,No,No,No,No,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Yes, all of them","None of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them",Yes,"If I felt it was important, I wouldn't feel it was likely that there would be any negative effect from sharing this.",No,"I have personally experienced negative treatment after disclosing mental illness.  I want to avoid doing so ever again.","Yes, it has","Yes, I think they would","Somewhat open","Yes, I experienced",N/A,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Sometimes,Often,39,male,"United States of America",Missouri,"United States of America",Missouri,Designer,Never
0,"More than 1000",0,1,"I don't know","I am not sure",Yes,Yes,Yes,"Neither easy nor difficult",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Some of my previous employers","I don't know","None of them",Yes,,Yes,,"No, I don't think it would","No, they do not","Very open","Maybe/Not sure",No,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,35,Male,"United Kingdom",,"United Kingdom",,Support,Never
0,26-100,1,,"I don't know",No,No,"I don't know","I don't know","I don't know",Maybe,Maybe,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,,Maybe,,Maybe,Maybe,"Somewhat open",N/A,,"I don't know",Maybe,Maybe,,"Attention Deficit Hyperactivity Disorder",No,,0,Rarely,Sometimes,35,M,"United States of America",Texas,"United States of America",Texas,"Supervisor/Team Lead|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate",Sometimes
0,26-100,1,,Yes,"I am not sure",No,No,"I don't know","Very difficult",Maybe,Maybe,Maybe,No,No,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Yes, all of them",Maybe,"I guess it would depend on what type of physical issue it was and how often it may affect my work as far as absences for treatment, etc.",No,"Mental health feels more subjective in some cases despite potentially having a diagnosis and could be viewed as detrimental to culture and performance if someone is say clinically depressed or has an anxiety disorder. Also it feels harder to explain potential absence due to a mental disorder.","Yes, it has","Yes, I think they would","Somewhat open","Yes, I observed",Yes,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,42,female,"United States of America",Texas,"United States of America",Texas,Designer,Sometimes
0,6-25,1,,Yes,Yes,Yes,No,Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","Some did","None of them",Yes,"I don't feel that a physical disability should be a deciding factor in someone's potential employment.  ",Yes,"Disclosing mental illness up front is a good way to know an employer's stance or attitude towards mental illness and would help me decide if employment at that business would be worth it for me","No, I don't think it would",Maybe,"Somewhat open","Yes, I observed",No,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",35,Male,Canada,,Canada,,"One-person shop",Sometimes
0,100-500,1,,"I don't know",No,No,"I don't know","I don't know","Somewhat difficult",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","Yes, always","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"Don't want to be discriminated against",No,"Do not want to be discriminated against","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced",Maybe,"I don't know",Yes,No,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,31,female,"United States of America",Texas,"United States of America",Texas,"Support|Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up",No,"Yes, always",No,Yes,1-25%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,Maybe,,Maybe,"No, I don't think they would","Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Post-traumatic Stress Disorder|Stress Response Syndromes",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Post-traumatic Stress Disorder|Stress Response Syndromes",1,Sometimes,Sometimes,44,"Male ","United Kingdom",,"United Kingdom",,"Front-end Developer|Back-end Developer|DevOps/SysAdmin",Always
0,100-500,1,,Yes,Yes,No,No,"I don't know","I don't know",Maybe,Maybe,No,No,"I don't know",No,,,,,,,,,1,"Yes, they all did","No, I only became aware later","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Yes, at all of my previous employers","I don't know","None of them",Maybe,"If they made an offer and the issue would impact my work or scheduling. ",Maybe,"If they made an offer and the issue would impact them. ",Maybe,Maybe,"Somewhat not open",No,,"I don't know",Maybe,Maybe,,,No,,1,Sometimes,Sometimes,39,Male,"United States of America",Georgia,"United States of America",Georgia,"Supervisor/Team Lead|DevOps/SysAdmin|Front-end Developer|Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","I don't know","None of them",Maybe,"Depends on the context.",Maybe,"I think it would depend on the mental health issue and how I felt it would impact the interview.",Maybe,Maybe,"Not applicable to me (I do not have a mental illness)",No,,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",32,Male,Canada,,Canada,,"DevOps/SysAdmin|Back-end Developer|Front-end Developer|One-person shop",Always
0,"More than 1000",1,,"I don't know","I am not sure",No,"I don't know","I don't know","Somewhat easy",Maybe,Maybe,No,Maybe,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","I don't know","Some did","Some of them",Yes,.,Maybe,"Mental issues are harder to be discussed with anyone.",Maybe,Maybe,"Very open","Maybe/Not sure",Maybe,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",45,m,"New Zealand",,"New Zealand",,"Supervisor/Team Lead",Sometimes
1,,,,,,,,,,,,,,,,0,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"Some did","N/A (not currently aware)","None did","Some did","I don't know","I don't know","Some of them","No, at none of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"it would depend on how and/or if the issue would impact my ability to fulfill the role. i would also want to feel the employer out as best as possible before providing personal non-required information.",No,"see above — in this instance, i believe it would be perceived negatively.","Yes, I think it would","No, I don't think they would","Somewhat open",No,,No,No,No,,,No,,1,"Not applicable to me","Not applicable to me",31,m,"United States of America",Texas,"United States of America",Texas,Designer,Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up",No,Yes,26-50%,1,"Yes, they all did","I was aware of some","None did","None did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"It shouldn't matter",No,"It shouldn't matter",Maybe,Maybe,"Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,47,Female,"United States of America","New York","United States of America","New York","One-person shop|Designer",Sometimes
0,26-100,1,,No,"I am not sure",No,No,"I don't know","Somewhat difficult",Maybe,No,No,Maybe,No,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,"There are many laws that protect applicants from discrimination based on physical ability so I wouldn't feel too concerned about bringing up a physical health issue in an interview.",No,"I feel like it would hurt my chances of getting the job. I'm not aware of any laws that protect applicants from discrimination based on mental health as there are with physical health.",Maybe,Maybe,"Somewhat not open",No,,Yes,Maybe,No,,,No,,1,"Not applicable to me","Not applicable to me",29,M,"United States of America",Maryland,"United States of America",Maryland,"Back-end Developer",Sometimes
0,6-25,1,,Yes,No,No,No,"I don't know","I don't know",No,No,Yes,Yes,Yes,No,,,,,,,,,0,,,,,,,,,,,,No,"Although it should be protected, not convinced it wouldn't harm my chances.",No,"Although should be protected, not convinced it wouldn't harm my chances.","No, I don't think it would","No, I don't think they would","Somewhat open",No,,Yes,Yes,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Often,20,Male,"United States of America","New York","United States of America",Oklahoma,"Back-end Developer",Always
0,100-500,1,,"Not eligible for coverage / N/A",N/A,No,"I don't know","I don't know","Very difficult",Yes,Maybe,Maybe,Maybe,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,No,"It could reduce my hire-ability, even though it may not as well, why take a chance?",No,"See above note about physical discussion.","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)",No,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",34,m,"United States of America",Washington,"United States of America",Washington,Other,Never
0,500-1000,1,,"Not eligible for coverage / N/A",N/A,Yes,Yes,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","Yes, always","I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"Depends on the context, usually they have no need to know",No,"Again, they have no need to know.","No, I don't think it would","No, I don't think they would","Very open",No,,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,Rarely,Often,33,Agender,"United Kingdom",,"United Kingdom",,"Dev Evangelist/Advocate|Back-end Developer|Front-end Developer",Never
1,,,,,,,,,,,,,,,,1,"I know some","Not applicable to me",N/A,"Not applicable to me","I'm not sure",Yes,26-50%,1,"Yes, they all did","I was aware of some","None did","Some did","I don't know","Some of them","Some of them","No, at none of my previous employers","I don't know","Some did","Some of them",No,"they would hold it against you",No,"They would hold it against you",Maybe,"Yes, I think they would","Somewhat open","Maybe/Not sure",Maybe,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",No,,1,Sometimes,Often,56,female,"United States of America",Florida,"United States of America",Florida,"One-person shop|Front-end Developer|Back-end Developer",Always
1,,,,,,,,,,,,,,,,0,"I know some","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Yes, all of them","Yes, at all of my previous employers","Yes, at all of my previous employers","None did","Some of them",No,,No,,"Yes, I think it would","Yes, I think they would","Not open at all",N/A,,Yes,Yes,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",,No,,0,Rarely,"Not applicable to me",35,Male,Canada,,Canada,,"One-person shop",Sometimes
